stimuli,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_1.started,text_1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_6.started,text_6.stopped,example_pic1.started,example_pic1.stopped,example_pic2.started,example_pic2.stopped,text_7.started,text_7.stopped,text_8.started,text_8.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_9.started,text_9.stopped,text_13.started,text_13.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_10.started,text_10.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_4.started,image_4.stopped,text_5.started,text_5.stopped,image_2.started,image_2.stopped,slider_2.response,slider_2.rt,slider_2.started,slider_2.stopped,text_11.started,text_11.stopped,image_3.started,image_3.stopped,slider_3.response,slider_5.response,slider_6.response,slider_6.rt,slider_6.started,slider_6.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_14.started,text_14.stopped,,date,expName,psychopyVersion,frameRate,
,,,,,15.366242600022815,None,space,3.6573497999925166,15.366242600022815,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022_Jul_22_2041,Fear_rating,2021.2.3,60.128928450117556,
,,,,,,,,,,,19.18934740003897,None,19.18934740003897,None,19.18934740003897,None,19.18934740003897,None,19.18934740003897,None,space,59.942818300041836,19.18934740003897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022_Jul_22_2041,Fear_rating,2021.2.3,60.128928450117556,
,,,,,,,,,,,,,,,,,,,,,,,,,79.18710919999285,None,79.18710919999285,None,space,0.5988785000517964,79.18710919999285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022_Jul_22_2041,Fear_rating,2021.2.3,60.128928450117556,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.85417960002087,None,space,2.699583799985703,79.85417960002087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022_Jul_22_2041,Fear_rating,2021.2.3,60.128928450117556,
../stimuli/matched_images/SHINE_color_cielab_accidents4.jpg,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.71598670003004,None,84.71598670003004,None,84.71598670003004,None,None,None,84.71598670003004,None,84.71598670003004,None,84.71598670003004,None,None,None,None,None,84.71598670003004,None,space,15.957507100014482,84.71598670003004,None,84.71598670003004,None,,2022_Jul_22_2041,Fear_rating,2021.2.3,60.128928450117556,
