correctAns,correct_reward,wrong_reward,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp.keys,key_resp.corr,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
['right'],4.4,4.6,0,0,0,0,None,None,0,15.916493099997751,None,0,001,2022_Jun_27_1724,exp1,2021.2.3,59.18494051189002,
,,,,,,,None,None,0,19.366661600011867,None,,,,,,,
