correctAns,correct_reward,wrong_reward,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp.keys,key_resp.corr,key_resp.rt,image.started,image.stopped,image_2.started,image_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
['right'],7.5,1.7,0,0,0,0,None,['right'],1,[0.46643630001926795],10.54337560001295,None,10.976038000022527,None,,001,2022_Jun_27_1739,exp1,2021.2.3,60.083516100789666,
,,,,,,,None,,,,,,,,,,,,,,
