correctAns,correct_reward,wrong_reward,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp.keys,key_resp.corr,key_resp.rt,image.started,image.stopped,image_2.started,image_2.stopped,polygon_2.started,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
['left'],8.4,4.6,0,0,0,0,None,['right'],0,[0.7261466999771073],10.458153699990362,None,11.171926899987739,None,11.171926899987739,None,,001,2022_Jun_27_1734,exp1,2021.2.3,59.89462140255465,
['left'],6.2,3.5,0,1,1,1,None,['left'],1,[0.4746845999616198],13.21974600001704,None,13.703374799981248,None,13.703374799981248,None,,001,2022_Jun_27_1734,exp1,2021.2.3,59.89462140255465,
['left'],4.1,2.8,0,2,2,2,None,['right'],0,[0.13388290000148118],15.73471819999395,None,15.885005399992224,None,15.885005399992224,None,,001,2022_Jun_27_1734,exp1,2021.2.3,59.89462140255465,
['left'],8.1,0.9,0,3,3,3,None,['left'],1,[0.4387045999756083],17.916282000020146,None,18.366158300021198,None,18.366158300021198,None,,001,2022_Jun_27_1734,exp1,2021.2.3,59.89462140255465,
['left'],6.0,4.4,0,4,4,4,None,None,0,,20.397491900017485,None,22.399212900025304,None,22.399212900025304,None,,001,2022_Jun_27_1734,exp1,2021.2.3,59.89462140255465,
,,,,,,,None,['right'],1,[0.3368676000391133],24.410931700025685,None,24.778179500019178,None,24.778179500019178,None,,,,,,,
