correctAns,correct_reward,wrong_reward,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp.keys,key_resp.corr,image.started,image.stopped,polygon_3.started,polygon_3.stopped,image_2.started,image_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
['right'],6.8,2.2,0,0,0,0,None,None,0,10.427939000015613,None,10.427939000015613,11.436805000004824,12.387405300047249,None,,001,2022_Jun_27_1745,exp1,2021.2.3,59.80203135868566,
,,,,,,,None,,,,,,,,,,,,,,,
