correctAns,correct_reward,wrong_reward,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp.keys,key_resp.corr,key_resp.rt,image.started,image.stopped,polygon_3.started,polygon_3.stopped,image_2.started,image_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
['left'],8.9,0.5,0,0,0,0,None,['left'],1,[1.2025804999866523],9.883699600002728,None,9.883699600002728,10.88974519999465,11.024652699998114,None,,001,2022_Jun_27_1745,exp1,2021.2.3,60.29930162519364,
,,,,,,,None,None,0,,13.070871100004297,None,13.070871100004297,14.091645699983928,,,,,,,,,
